"id","Year","Age","trackid","start_time","DeploymentID","sex","tripduration.days","maxdistance.km","totalpathdistance.km","total_landings_hmm","propRest_hmm","propSearch_hmm","propTravel_hmm","propARSvsTravel_hmm","logmaxdistance.km","logtotalpathdistance.km","southLat","northLat","latRange","SAMIndex","IODIndex","SOIIndex","boldness","attempted_breeding","breeding_success","prevyear"
"waal_4619",2014,NA,139,2014-03-24 10:25:00,"BS0957_2014","Female",1.90625,126.2504836,617.3546859,3,0.262295082,0.573770492,0.163934426,0.777777778,4.83826789864318,6.42544371433078,-46.45407,-45.42535,1.02872,1.34,-0.051,-1.5,0.838336343,NA,NA,NA
"waal_4619",2014,NA,136,2014-03-03 15:18:00,"BS0957_2014","Female",5.072916667,312.2990304,789.7252536,18,0.652263374,0.25308642,0.094650206,0.727810651,5.7439611595772,6.67168510471833,-46.3592,-44.52604,1.83316,1.34,-0.051,-1.5,0.838336343,NA,NA,NA
"waal_4619",2014,NA,137,2014-03-14 17:13:00,"BS0957_2014","Female",4.5,773.7472277,2763.385537,8,0.17016317,0.368298368,0.461538462,0.443820225,6.65124524105216,7.92421185083888,-47.10838,-42.45326,4.65512,1.34,-0.051,-1.5,0.838336343,NA,NA,NA
"waal_4619",2014,NA,138,2014-03-21 16:23:00,"BS0957_2014","Female",0.635416667,59.60921869,234.0405274,1,0.166666667,0.733333333,0.1,0.88,4.08781023811692,5.45549429437844,-46.41747,-46.1428,0.27467,1.34,-0.051,-1.5,0.838336343,NA,NA,NA
"waal_0020",2011,28,16,2011-02-11 12:25:00,"BS10328_2011","Female",10.59375,666.9520941,2319.310674,34,0.538385827,0.335629921,0.125984252,0.727078891,6.5027182203977,7.74902529723463,-47.15605,-44.08108,3.07497,0.87,0.322,4.5,1.393113678,1,1,"failedrep"
"waal_0128",2018,33,409,2018-02-05 08:59:00,"BS10810_2018","Female",12.92708333,1657.992165,7414.212083,29,0.290322581,0.318548387,0.391129032,0.448863636,7.4133626101111,8.91115398904743,-57.3623,-43.90093,13.46137,1.02,0.295,-0.8,0.212841295,1,1,"no attempt"
"waal_0128",2018,33,410,2018-02-28 15:14:00,"BS10810_2018","Female",9.489583333,1558.839062,5261.988177,18,0.29010989,0.294505495,0.415384615,0.414860681,7.35169663217034,8.5682642147334,-46.97911,-38.02285,8.95626,1.02,0.295,-0.8,0.212841295,1,1,"no attempt"
"waal_0139",2013,28,568,2013-03-19 07:42:00,"BS10860_2013_b","Female",2.03125,120.5735961,989.0802161,2,0.108247423,0.726804124,0.164948454,0.815028902,4.79226032251176,6.89677543662482,-46.63103596,-45.50334511,1.12769085,2.31,0.183,2.5,-1.377874855,1,1,"failedrep"
"waal_0139",2013,28,570,2013-03-31 05:02:00,"BS10860_2013_b","Female",1.958333333,146.966675,646.591544,4,0.401069519,0.518716578,0.080213904,0.866071429,4.99020586039798,6.47171478756895,-47.01869549,-46.15254451,0.86615098,2.31,0.183,2.5,-1.377874855,1,1,"failedrep"
"waal_0139",2013,28,569,2013-03-24 07:14:00,"BS10860_2013_b","Female",1.947916667,79.85892622,654.2827314,3,0.102150538,0.784946237,0.112903226,0.874251497,4.38026165576456,6.48353956904689,-46.93585438,-45.84926684,1.08658754,2.31,0.183,2.5,-1.377874855,1,1,"failedrep"
"waal_0204",2013,27,59,2013-03-03 09:08:00,"BS11218_2013","Female",5.083333333,957.8000901,2931.848552,13,0.316221766,0.260780287,0.422997947,0.381381381,6.86463908197825,7.9833884081936,-46.36817,-37.73888,8.62929,2.31,0.183,2.5,0.214210354,1,1,"no attempt"
"waal_0217",2013,27,545,2013-02-23 13:58:00,"BS11260_2013","Female",8.583333333,1132.193519,5701.867198,19,0.138349515,0.438106796,0.423543689,0.508450704,7.03191219733251,8.64854897877698,-46.35937,-38.54515,7.81422,2.84,0.269,-0.4,1.016826666,1,1,"failedrep"
"waal_0335",2013,25,565,2013-03-22 12:48:00,"BS11817_2013","Female",3.572916667,1193.5513,3858.314247,2,0.014619883,0.210526316,0.774853801,0.213649852,7.08468842767878,8.25798564349223,-46.35762,-35.94733,10.41029,2.31,0.183,2.5,0.027839984,1,1,"no attempt"
